LEGAJO	CARRERA	FECHA_INGRESO	FECHA_INSCRIPCION	MODALIDAD_DES	MATERIAS APROBADAS CARRERA	MATERIAS REGULARES	PROMEDIO CON APLAZO	PROMEDIO SIN APLAZO	GENERO	COHORTE	PERIODO	SUBPERIODO	INGR / REINSC	FECHA_PAGO_MATRICULA	PROVINCIA_ALUMNO	ESTADO	ULTIMA_MATRICULA	ULTIMO_ARANCEL	NPS
48	Procurador	9/6/2023	9/6/2023	Distancia - MTD	4	0	9	8,5	Masculino	2023	feb-23	A-2-2023	Ingresante	9/6/2023	Mendoza	BAJA CARRERA	ene-24	ene-24	10
49	Procurador	9/6/2023	15/8/2023	Distancia - MTD	4	0	9	8,5	Masculino	2023	feb-23	A-2-2023	Reinscripto	15/8/2023	Mendoza	BAJA CARRERA	ene-24	ene-24	10
50	Martillero, Corredor Público Y Corredor Inmobiliario	15/10/2021	3/7/2023	Distancia - MTD	16	0	7	7,06	Masculino	2021	feb-23	A-2-2023	Reinscripto	3/7/2023	Chubut	MATRICULA PAGA	ene-24	ene-24	10
51	Abogacía	21/6/2021	5/6/2023	Distancia - MTD	25	0	8	8,1	Femenino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	10
52	Licenciatura En Administración	17/1/2020	12/6/2023	Distancia - MTD	43	1	8	8,35	Femenino	2020	feb-23	A-2-2023	Reinscripto	12/6/2023	Salta	MATRICULA PAGA	ene-24	feb-23	9
53	Abogacía	30/5/2023	11/7/2023	Distancia - MTD	8	0	9	8,88	Masculino	2023	feb-23	A-2-2023	Reinscripto	11/7/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	10
54	Licenciatura En Educación - Ciclo	5/9/2022	19/7/2023	Distancia - MTD	10	0	7	7,1	Masculino	2022	feb-23	A-2-2023	Reinscripto	19/7/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	9
55	Abogacía	30/11/2020	13/7/2023	Distancia - MTD	15	1	8	8,37	Femenino	2021	feb-23	A-2-2023	Reinscripto	13/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
56	Abogacía	2/3/2021	9/6/2023	Distancia - ED	26	0	8	8,42	Masculino	2021	feb-23	A-2-2023	Reinscripto	9/6/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	9
57	Abogacía	10/9/2020	2/8/2023	Distancia - MTD	33	2	9	8,78	Femenino	2021	feb-23	A-2-2023	Reinscripto	2/8/2023	Salta	MATRICULA PAGA	ene-24	feb-23	10
58	Abogacía	30/12/2015	1/8/2023	Distancia - ED	4	0	8	8,37	Femenino	2016	feb-23	A-2-2023	Reinscripto	1/8/2023	Formosa	MATRICULA PAGA	ene-24	ene-24	10
59	Procurador	27/6/2023	27/6/2023	Distancia - MTD	3	0	9	8,67	Masculino	2023	feb-23	A-2-2023	Ingresante	27/6/2023	Santa Fe	MATRICULA PAGA	feb-23	feb-23	10
60	Licenciatura En Administración Agraria	10/8/2023	10/8/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Ingresante	10/8/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	2
61	Abogacía	22/12/2021	10/6/2023	Distancia - MTD	31	1	8	8,03	Masculino	2022	feb-23	A-2-2023	Reinscripto	10/6/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	7
62	Abogacía	22/2/2014	27/7/2023	Distancia - ED	8	0	7	6,98	Masculino	2014	feb-23	A-2-2023	Reinscripto	27/7/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	9
63	Abogacía	3/12/2012	20/7/2023	Distancia - MTD	6	0	6	7,1	Masculino	2013	feb-23	A-2-2023	Reinscripto	20/7/2023	Neuquen	MATRICULA PAGA	ene-24	feb-23	6
64	Martillero, Corredor Público Y Corredor Inmobiliario	24/8/2022	6/7/2023	Distancia - MTD	10	0	8	8,1	Femenino	2022	feb-23	A-2-2023	Reinscripto	6/7/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	8
65	Abogacía	10/5/2022	7/7/2023	Distancia - MTD	13	1	8	8,08	Masculino	2022	feb-23	A-2-2023	Reinscripto	7/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
66	Licenciatura En Educación - Ciclo	5/8/2022	4/9/2023	Distancia - MTD	1	0	3	4	Masculino	2022	feb-23	B-2-2023	Reinscripto	4/9/2023	Santa Fe	MATRICULA PAGA	feb-23	feb-23	9
67	Abogacía	30/12/2020	13/6/2023	Distancia - MTD	22	0	9	9,09	Femenino	2021	feb-23	A-2-2023	Reinscripto	13/6/2023	San Juan	MATRICULA PAGA	ene-24	ene-24	7
68	Abogacía	9/3/2022	14/7/2023	Distancia - MTD	17	0	8	8,47	Masculino	2022	feb-23	A-2-2023	Reinscripto	14/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
69	Contador Público	28/7/2017	3/7/2023	Distancia - MTD	9	4	4	5,73	Masculino	2017	feb-23	A-2-2023	Reinscripto	3/7/2023	Chaco	MATRICULA PAGA	ene-24	ene-24	5
70	Licenciatura En Periodismo	4/5/2021	14/6/2023	Distancia - MTD	32	0	7	7,47	Femenino	2021	feb-23	A-2-2023	Reinscripto	14/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
71	Licenciatura En Relaciones Internacionales	15/1/2021	15/6/2023	Distancia - MTD	36	0	7	7,37	Masculino	2021	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
72	Abogacía	15/2/2022	16/6/2023	Distancia - MTD	5	0	6	6,4	Femenino	2022	feb-23	A-2-2023	Reinscripto	16/6/2023	Formosa	MATRICULA PAGA	feb-23	ene-23	10
73	Abogacía	15/8/2008	14/6/2023	Distancia - MTD	16	0	9	9,48	Masculino	2008	feb-23	A-2-2023	Reinscripto	14/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
74	Abogacía	14/11/2011	15/6/2023	Distancia - MTD	9	1	7	7,17	Femenino	2012	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
75	Abogacía	29/1/2019	23/8/2023	Distancia - MTD	10	0	9	8,72	Masculino	2019	feb-23	B-2-2023	Reinscripto	23/8/2023	Tierra Del Fuego	MATRICULA PAGA	feb-23	ene-23	10
76	Abogacía	12/7/2023	12/7/2023	Distancia - MTD	7	0	9	9,43	Masculino	2023	feb-23	A-2-2023	Ingresante	12/7/2023	Sin datos	MATRICULA PAGA	feb-24	feb-24	10
77	Martillero, Corredor Público Y Corredor Inmobiliario	15/2/2023	12/6/2023	Distancia - MTD	8	0	10	9,63	Femenino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
78	Martillero, Corredor Público Y Corredor Inmobiliario	20/5/2022	6/6/2023	Distancia - MTD	14	0	9	9	Masculino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
79	Licenciatura En Educación - Ciclo	19/6/2023	19/6/2023	Distancia - MTD	6	0	9	8,5	Femenino	2023	feb-23	A-2-2023	Ingresante	19/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
80	Abogacía	9/1/2019	14/7/2023	Distancia - MTD	3	0	7	7,45	Femenino	2019	feb-23	A-2-2023	Reinscripto	14/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
81	Escribanía-Ciclo	2/1/2023	8/6/2023	Distancia - MTD	8	0	10	9,75	Femenino	2023	feb-23	A-2-2023	Reinscripto	8/6/2023	Santa Fe	MATRICULA PAGA	feb-23	feb-23	10
82	Procurador	5/6/2023	5/6/2023	Distancia - MTD	6	0	9	8,75	Femenino	2023	feb-23	A-2-2023	Ingresante	5/6/2023	Sin datos	MATRICULA PAGA	feb-24	feb-24	9
83	Procurador	10/8/2023	10/8/2023	Distancia - MTD	7	0	7	6,54	Masculino	2023	feb-23	A-2-2023	Ingresante	10/8/2023	Salta	MATRICULA PAGA	ene-24	ene-24	8
84	Licenciatura En Administración	10/3/2016	22/6/2023	Distancia - MTD	38	0	6	6,05	Masculino	2016	feb-23	A-2-2023	Reinscripto	22/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
85	Licenciatura En Seguridad Informatica	11/11/2022	9/6/2023	Distancia - MTD	12	0	8	7,83	Masculino	2023	feb-23	A-2-2023	Reinscripto	9/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	9
86	Procurador	7/2/2023	5/6/2023	Distancia - MTD	17	0	10	9,52	Masculino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Salta	MATRICULA PAGA	ene-24	ene-24	8
87	Abogacía	9/5/2019	21/6/2023	Distancia - ED	7	0	10	9,51	Masculino	2019	feb-23	A-2-2023	Reinscripto	21/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
88	Licenciatura En Educación - Ciclo	23/11/2022	8/6/2023	Distancia - MTD	8	1	8	7,63	Femenino	2023	feb-23	A-2-2023	Reinscripto	8/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
89	Abogacía	15/11/2018	27/7/2023	Distancia - MTD	12	0	6	6,26	Femenino	2019	feb-23	A-2-2023	Reinscripto	27/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	10
90	Martillero, Corredor Público Y Corredor Inmobiliario	6/9/2021	5/6/2023	Distancia - MTD	18	0	9	9,11	Masculino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	0
91	Profesorado Universitario Para El Nivel Secundario Y Superior	11/4/2023	11/4/2023	Presencial HOME	9	0	8	8,33	Masculino	2023	feb-23	A-2-2023	Ingresante	11/4/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
92	Abogacía	4/8/2022	7/6/2023	Distancia - MTD	17	1	9	9	Masculino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
93	Abogacía	25/3/2021	24/7/2023	Distancia - MTD	22	1	8	8,1	Masculino	2021	feb-23	A-2-2023	Reinscripto	24/7/2023	La Pampa	MATRICULA PAGA	ene-24	ene-24	7
94	Abogacía	23/9/2022	11/6/2023	Distancia - MTD	15	0	8	7,87	Masculino	2022	feb-23	A-2-2023	Reinscripto	11/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	9
95	Licenciatura En Administración	2/6/2023	2/6/2023	Distancia - ED	3	0	7	7,33	Femenino	2023	feb-23	A-2-2023	Ingresante	2/6/2023	Chubut	MATRICULA PAGA	feb-23	feb-23	8
96	Contador Público	22/10/2021	13/6/2023	Distancia - MTD	21	2	8	7,95	Masculino	2022	feb-23	A-2-2023	Reinscripto	13/6/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	10
97	Abogacía	30/7/2021	6/6/2023	Distancia - MTD	36	0	8	8,36	Masculino	2021	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
98	Tecnicatura En Dirección De Protocolo, Organización De Eventos Y Relaciones Públicas	16/11/2022	5/6/2023	Distancia - MTD	8	0	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Mendoza	MATRICULA PAGA	feb-24	feb-24	9
99	Abogacía	18/9/2019	25/7/2023	Distancia - MTD	9	0	7	7,4	Femenino	2019	feb-23	A-2-2023	Reinscripto	25/7/2023	Entre Rios	MATRICULA PAGA	feb-23	ene-23	10
100	Licenciatura En Gestión De Recursos Humanos	16/9/2014	12/7/2023	Distancia - MTD	23	0	6	6,47	Femenino	2003	feb-23	A-2-2023	Reinscripto	12/7/2023	Salta	MATRICULA PAGA	ene-24	feb-23	9
101	Tecnicatura Universitaria En Diseño Y Animación Digital	11/11/2020	22/6/2023	Distancia - MTD	18	0	8	8,22	Masculino	2021	feb-23	A-2-2023	Reinscripto	22/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	1
102	Ingeniería En Software	18/7/2023	18/7/2023	Presencial HOME	1	0	8	8	Masculino	2023	feb-23	A-2-2023	Ingresante	18/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
103	Martillero, Corredor Público Y Corredor Inmobiliario	25/3/2022	21/7/2023	Distancia - MTD	14	0	8	8,29	Femenino	2022	feb-23	A-2-2023	Reinscripto	21/7/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	9
104	Abogacía	16/9/2017	21/7/2023	Distancia - ED	4	0	9	8,56	Masculino	2017	feb-23	A-2-2023	Reinscripto	21/7/2023	Tucuman	MATRICULA PAGA	ene-24	ene-23	9
105	Abogacía	15/2/2019	16/6/2023	Distancia - ED	6	0	8	8,4	Masculino	2019	feb-23	A-2-2023	Reinscripto	16/6/2023	Tucuman	MATRICULA PAGA	ene-24	feb-23	9
106	Abogacía	5/11/2010	6/6/2023	Distancia - MTD	7	0	7	7,23	Femenino	2011	feb-23	A-2-2023	Reinscripto	6/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
107	Martillero, Corredor Público Y Corredor Inmobiliario	30/3/2023	6/6/2023	Distancia - MTD	8	0	10	9,88	Femenino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
108	Abogacía	9/3/2021	10/6/2023	Distancia - MTD	30	0	9	9,14	Femenino	2021	feb-23	A-2-2023	Reinscripto	10/6/2023	Tucuman	MATRICULA PAGA	ene-24	ene-24	10
109	Martillero, Corredor Público Y Corredor Inmobiliario	1/10/2021	5/6/2023	Distancia - MTD	14	0	8	8,36	Masculino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
110	Procurador	28/12/2021	11/6/2023	Distancia - MTD	24	0	9	9,42	Masculino	2022	feb-23	A-2-2023	Reinscripto	11/6/2023	Sin datos	MATRICULA PAGA	ene-24	feb-23	5
111	Procurador	16/3/2023	9/6/2023	Distancia - MTD	11	0	8	7,82	Femenino	2023	feb-23	A-2-2023	Reinscripto	9/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	7
112	Contador Público	24/2/2023	5/6/2023	Distancia - MTD	14	0	8	8,39	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
113	Abogacía	22/7/2019	26/7/2023	Distancia - ED	6	1	6	6,31	Femenino	2019	feb-23	A-2-2023	Reinscripto	26/7/2023	Salta	MATRICULA PAGA	feb-23	feb-23	10
114	Escribanía-Ciclo	17/3/2023	17/8/2023	Distancia - MTD	0	0	0	0	Femenino	2023	feb-23	A-2-2023	Reinscripto	17/8/2023	Chaco	MATRICULA PAGA	feb-23	feb-23	0
115	Licenciatura En Administración Pública	16/9/2019	5/8/2023	Distancia - MTD	28	2	7	7,46	Masculino	2019	feb-23	A-2-2023	Reinscripto	5/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
116	Abogacía	4/4/2008	7/7/2023	Distancia - MTD	13	0	9	8,91	Masculino	2008	feb-23	A-2-2023	Reinscripto	7/7/2023	Cordoba	MATRICULA PAGA	ene-24	feb-23	10
117	Abogacía	22/11/2019	26/7/2023	Distancia - MTD	15	0	9	9,4	Femenino	2020	feb-23	A-2-2023	Reinscripto	26/7/2023	Neuquen	MATRICULA PAGA	feb-23	ene-23	1
118	Abogacía	30/6/2017	20/8/2023	Distancia - MTD	4	0	7	7,05	Femenino	2017	feb-23	A-2-2023	Reinscripto	20/8/2023	Cordoba	MATRICULA PAGA	feb-23	ene-23	10
119	Martillero, Corredor Público Y Corredor Inmobiliario	16/1/2023	5/6/2023	Distancia - MTD	12	0	7	7,42	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
120	Abogacía	18/3/2022	28/6/2023	Distancia - MTD	13	0	8	7,92	Femenino	2022	feb-23	A-2-2023	Reinscripto	28/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
121	Licenciatura En Educación - Ciclo	22/6/2022	1/8/2023	Distancia - MTD	13	0	7	7,54	Masculino	2022	feb-23	A-2-2023	Reinscripto	1/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
122	Abogacía	12/2/2020	9/6/2023	Distancia - MTD	15	1	8	7,54	Femenino	2020	feb-23	A-2-2023	Reinscripto	9/6/2023	Mendoza	MATRICULA PAGA	feb-23	ene-23	8
123	Martillero, Corredor Público Y Corredor Inmobiliario	23/3/2022	7/6/2023	Distancia - MTD	16	0	10	9,69	Femenino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	5
